SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC41253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41254,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,6,0,9
SSC41255,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,3,0,0,3
SSC41256,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,8,0,0,9
SSC41257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41260,0,0,0,0,0,0,0,0,0,8,7,0,15,0,0,0,15,7,0,29
SSC41261,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,7,0,0,8
SSC41262,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
SSC41263,0,0,0,0,0,0,4,0,5,55,41,6,106,14,9,22,124,77,3,207
SSC41264,0,0,0,0,0,0,0,0,0,9,6,0,12,0,0,0,19,9,0,21
SSC41265,0,0,0,0,0,0,0,0,0,11,7,0,22,0,0,3,29,22,0,48
SSC41266,0,0,0,0,0,0,4,0,7,93,69,4,170,5,10,19,184,118,4,311
SSC41267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41268,0,0,0,0,0,0,4,0,6,43,16,6,64,5,0,5,71,12,0,90
SSC41269,0,3,0,0,0,3,0,0,3,57,40,0,101,3,0,5,100,86,0,183
SSC41270,0,0,0,0,0,0,0,0,0,15,6,4,22,0,0,0,23,18,0,37
SSC41271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41273,0,0,0,0,0,0,0,0,0,8,4,0,7,3,0,3,9,8,0,23
SSC41274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41275,0,0,0,0,0,0,6,3,16,103,84,11,199,18,24,39,244,255,5,508
SSC41276,0,0,0,0,0,3,0,4,9,79,81,10,165,15,16,27,194,167,8,373
SSC41277,0,3,0,0,0,3,3,5,10,117,123,8,249,23,23,43,292,197,9,496
SSC41278,0,4,0,0,0,4,3,3,8,70,61,7,137,9,7,12,149,55,3,207
SSC41279,0,3,0,0,0,3,8,8,17,124,133,23,279,43,27,68,354,398,7,754
SSC41280,0,0,0,0,0,0,3,0,5,37,31,4,74,3,4,10,81,69,4,158
SSC41281,0,0,0,0,0,0,0,0,3,16,15,4,28,6,4,6,38,37,0,73
SSC41282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC41284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC41285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41289,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,7,0,0,7
SSC41290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41292,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4
SSC41293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
